📺央视频道,#genre#
CCTV-1,http://39.134.144.6:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV-2,http://39.134.144.6:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV-3,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4,http://cfss.cc/api/ysp/cctv4.m3u8
CCTV-5,http://cfss.cc/api/ysp/cctv5.m3u8
CCTV-5+,http://cfss.cc/api/ysp/cctv5plus.m3u8
CCTV-6,http://39.134.144.6:8089/PLTV/88888888/224/3221225755/index.m3u8
CCTV-7,http://39.134.144.6:8089/PLTV/88888888/224/3221225756/index.m3u8
CCTV-8,http://39.134.144.6:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV-9,http://39.134.144.6:8089/PLTV/88888888/224/3221225758/index.m3u8
CCTV-10,http://39.134.144.6:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV-11,http://39.134.144.6:8089/PLTV/88888888/224/3221225760/index.m3u8
CCTV-12,http://39.134.144.6:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV-13,http://39.134.144.6:8089/PLTV/88888888/224/3221225762/index.m3u8
CCTV-14,http://39.134.144.6:8089/PLTV/88888888/224/3221225763/index.m3u8
CCTV-15,http://39.134.144.6:8089/PLTV/88888888/224/3221225764/index.m3u8
CCTV-16,http://cfss.cc/api/ysp/cctv16.m3u8
CCTV-17,http://39.134.144.6:8089/PLTV/88888888/224/3221225766/index.m3u8
CETV-1,http://39.134.144.6:8089/PLTV/88888888/224/3221225767/index.m3u8
CETV-2,http://39.134.144.6:8089/PLTV/88888888/224/3221225768/index.m3u8
CETV-3,http://39.134.144.6:8089/PLTV/88888888/224/3221225769/index.m3u8
CETV-4,http://39.134.144.6:8089/PLTV/88888888/224/3221225770/index.m3u8

📡卫视频道,#genre#
广东卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225771/index.m3u8
香港卫视,http://live.xgws.tv/live/xgws/index.m3u8
浙江卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225773/index.m3u8
湖南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225774/index.m3u8
北京卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225775/index.m3u8
湖北卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225776/index.m3u8
黑龙江卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225777/index.m3u8
安徽卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225778/index.m3u8
重庆卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225779/index.m3u8
东方卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225780/index.m3u8
东南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225781/index.m3u8
甘肃卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225782/index.m3u8
广西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225783/index.m3u8
贵州卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225784/index.m3u8
海南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225785/index.m3u8
河北卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225786/index.m3u8
河南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225787/index.m3u8
吉林卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225788/index.m3u8
江苏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225789/index.m3u8
江西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225790/index.m3u8
辽宁卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225791/index.m3u8
内蒙古卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225792/index.m3u8
宁夏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225793/index.m3u8
青海卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225794/index.m3u8
山东卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225795/index.m3u8
山西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225796/index.m3u8
陕西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225797/index.m3u8
四川卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225798/index.m3u8
深圳卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225799/index.m3u8
三沙卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225800/index.m3u8
天津卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225801/index.m3u8
西藏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225802/index.m3u8
新疆卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225803/index.m3u8
云南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225804/index.m3u8

地方频道,#genre#
河南乡村频道,http://[在此填入河南广电/移动内网抓包IP]:8080/PLTV/88888888/224/3221225805/index.m3u8

☘️广东频道,#genre#
广东珠江,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000301/index.m3u8
广东体育,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000302/index.m3u8
广东新闻,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000303/index.m3u8
广东卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225771/index.m3u8
广东民生,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000304/index.m3u8
大湾区卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000305/index.m3u8
广州综合,http://[需本地广电代理IP]/index.m3u8
广州影视,http://[需本地广电代理IP]/index.m3u8
广州竞赛,http://[需本地广电代理IP]/index.m3u8
江门综合,http://[需本地广电代理IP]/index.m3u8
江门侨乡生活,http://[需本地广电代理IP]/index.m3u8
佛山综合,http://[需本地广电代理IP]/index.m3u8
深圳卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225799/index.m3u8
汕头综合,http://[需本地广电代理IP]/index.m3u8
汕头经济,http://[需本地广电代理IP]/index.m3u8
汕头文旅,http://[需本地广电代理IP]/index.m3u8
茂名综合,http://[需本地广电代理IP]/index.m3u8
茂名公共,http://[需本地广电代理IP]/index.m3u8
